50
on 2. Monday.
Met Burtin at Station at 9.50 P.M.
Burtin himself might have met me at Hay-Adams
House.
Wednesday
Met myself and company to Hay Adams
House.
Left myself and company from House, returned to
Hay Adams house.
Wednesday
Write 4. Lord.
Write 5. Monday
Write 6. Tuesday
Write 7. Wednesday
Write 8. Thursday
Write 9. Friday
Write 10. Saturday
Write 11. Sunday
Write 12. Monday
Write 13. Tuesday
Write 14. Wednesday
Write 15. Thursday
Write 16. Friday
Write 17. Saturday
Write 18. Sunday
Write 19. Monday
Write 20. Tuesday
Write 21. Wednesday
Write 22. Thursday
Write 23. Friday
Write 24. Saturday
Write 25. Sunday
Write 26. Monday
Write 27. Tuesday
Write 28. Wednesday
Write 29. Thursday
Write 30. Friday
Write 31. Saturday
Write 1. Sunday
Write 2. Monday
Write 3. Tuesday
Write 4. Wednesday
Write 5. Thursday
Write 6. Friday
Write 7. Saturday
Write 8. Sunday
Write 9. Monday
Write 10. Tuesday
Write 11. Wednesday
Write 12. Thursday
Write 13. Friday
Write 14. Saturday
Write 15. Sunday
Write 16. Monday
Write 17. Tuesday
Write 18. Wednesday
Write 19. Thursday
Write 20. Friday
Write 21. Saturday
Write 22. Sunday
Write 23. Monday
Write 24. Tuesday
Write 25. Wednesday
Write 26. Thursday
Write 27. Friday
Write 28. Saturday
Write 29. Sunday
Write 30. Monday
Write 31. Tuesday
Write 1. Wednesday
Write 2. Thursday
Write 3. Friday
Write 4. Saturday
Write 5. Sunday
Write 6. Monday
Write 2. Tuesday
Write 3. Wednesday
Write 4. Thursday
Write 5. Friday
Write 6. Saturday
Write 7. Sunday
Write 8. Monday
Write 9. Tuesday
Write 10. Wednesday
Write 11. Thursday
Write 12. Friday
Write 13. Saturday
Write 14. Sunday
Write 15. Monday
Write 2. Tuesday
Write 3. Wednesday
Write 4. Thursday
Write 5. Friday
Write 6. Saturday
Write 7. Sunday
Write 1. Monday
Write 2. Tuesday
Write 3. Wednesday
Write 4. Thursday
Write 5. Friday
Write 1. Saturday
Write 2. Sunday
Write 1. Monday
Write 2. Tuesday
Write 3. Wednesday
Write 4. Thursday
