December 1787
Thursday 15th
Wednesday 16th
Saturday 18th
Monday 20th
Tuesday 22nd
Wednesday 23rd
Thursday 24th
Friday 25th
Saturday 26th
Monday 28th
Tuesday 29th
Wednesday 30th
Thursday 1st
Friday 2nd
Saturday 3rd
Monday 5th
Tuesday 6th
Wednesday 7th
Thursday 8th
Friday 9th
Saturday 10th
Monday 12th
Tuesday 13th
Wednesday 14th
Thursday 15th
Friday 16th
Saturday 17th
Monday 19th
Tuesday 20th
Wednesday 21st
Thursday 22nd
Friday 23rd
Saturday 24th
Monday 26th
Tuesday 27th
Wednesday 28th
Thursday 29th
Friday 30th
Saturday 1st
Monday 3rd
Tuesday 4th
Wednesday 5th
Thursday 6th
Friday 7th
Saturday 8th
Monday 10th
Tuesday 11th
Wednesday 12th
Thursday 13th
Friday 14th
Saturday 15th
Monday 17th
Tuesday 18th
Wednesday 19th
Thursday 20th
Friday 21st
Saturday 22nd
Monday 24th
Tuesday 25th
Wednesday 26th
Thursday 27th
Friday 28th
Saturday 29th
Monday 31st
Tuesday 1st
Wednesday 2nd
Thursday 3rd
Friday 4th
Saturday 5th
Monday 7th
Tuesday 8th
Wednesday 9th
Thursday 10th
Friday 11th
Saturday 12th
Monday 14th
Tuesday 15th
Wednesday 16th
Thursday 17th
Friday 18th
Saturday 19th
Monday 21st
Tuesday 22nd
Wednesday 23rd
Friday 25th
Saturday 26th
Wednesday 28th
Thursday 29th
Saturday 31st
Monday 2nd
Tuesday 3rd
Wednesday 4th
Thursday 5th
Friday 6th
Saturday 7th
Monday 9th
Tuesday 10th
Wednesday 11th
Thursday 12th
Friday 13th
Saturday 14th
Monday 16th
Tuesday 17th
Wednesday 18th
Thursday 19th
Friday 20th
Saturday 21st
Monday 23rd
Tuesday 24th
Wednesday 25th
Thursday 26th
Friday 27th
Saturday 28th
Monday 30th
Tuesday 31st
Wednesday 1st
Thursday 2nd
Friday 3rd
Saturday 4th
Monday 6th
Tuesday 7th
Wednesday 8th
Thursday 9th
Friday 10th
Saturday 11th
Monday 13th
Tuesday 14th
Wednesday 15th
Thursday 16th
Friday 17th
Saturday 18th
Monday 20th
Wednesday 22nd
Thursday 23rd
Friday 24th
Saturday 25th
Monday 27th
Tuesday 28th
Wednesday 29th
Thursday 30th
Friday 31st
Saturday 1st
Monday 3rd
Tuesday 2nd
Wednesday 3rd
Thursday 4th
Friday 5th
Saturday 6th
Monday 8th
Tuesday 9th
Wednesday 10th
Thursday 11th
Friday 12th
Saturday 13th
Monday 15th
Tuesday 16th
Wednesday 17th
Thursday 18th
Friday 19th
Saturday 20th
Monday 22nd
Tuesday 23rd
Wednesday 24th
Thursday 25th
Friday 26th
Saturday 27th
Monday 29th
Tuesday 30th
Wednesday 31st
Thursday 1st
Friday 2nd
Saturday 4th
Monday 6th
Tuesday 5th
Wednesday 7th
Thursday 8th
Friday
1887
12
25
1887
12
25
Bought me
from me
for want to the fame — bought
from my
for want to the fame — bought
from my
for wanted to sell a land
from me
for want again with wood to the house
from me
for want again to buy in the house
from me
for want to buy in the house
from me
for want to buy in the house
