to Col. C. P. Fry
your letter for
contracting telegraph
from New York to Phila.
July 6th 1844
July 8th 1844
July 8th 1844
July 9th 1844
July 10th 1844
July 11th 1844
July 12th 1844
July 13th 1844
July 14th 1844
July 15th 1844
July 16th 1844
July 17th 1844
July 18th 1844
July 19th 1844
July 20th 1844
July 21st 1844
July 22nd 1844
July 23rd 1844
July 24th 1844
July 25th 1844
July 26th 1844
July 27th 1844
July 28th 1844
July 29th 1844
July 30th 1844
July 31st 1844
August 1st 1844
August 2nd 1844
August 3rd 1844
August 4th 1844
August 5th 1844
August 6th 1844
August 7th 1844
August 8th 1844
August 9th 1844
August 10th 1844
August 11th 1844
August 12th 1844
August 13th 1844
August 14th 1844
August 15th 1844
August 16th 1844
August 17th 1844
August 18th 1844
August 19th 1844
August 20th 1844
August 21st 1844
August 22nd 1844
August 23rd 1844
August 24th 1844
August 25th 1844
August 26th 1844
August 27th 1844
August 28th 1844
August 29th 1844
August 30th 1844
August 31st 1844
September 1st 1844
September 2nd 1844
September 3rd 1844
September 4th 1844
September 5th 1844
September 6th 1844
September 7th 1844
September 8th 1844
September 9th 1844
September 10th 1844
September 11th 1844
September 12th 1844
September 13th 1844
September 14th 1844
September 15th 1844
September 16th 1844
September 17th 1844
September 18th 1844
September 19th 1844
September 20th 1844
September 21st 1844
September 22nd 1844
September 23rd 1844
September 24th 1844
September 25th 1844
September 26th 1844
September 27th 1844
September 28th 1844
September 29th 1844
September 30th 1844
October 1st 1844
October 2nd 1844
October 3rd 1844
October 4th 1844
October 5th 1844
October 6th 1844
October 7th 1844
October 8th 1844
October 9th 1844
October 10th 1844
October 11th 1844
October 12th 1844
October 13th 1844
October 14th 1844
October 15th 1844
October 16th 1844
October 17th 1844
October 18th 1844
October 19th 1844
October 20th 1844
October 21st 1844
October 22nd 1844
October 23rd 1844
October 24th 1844
October 25th 1844
October 26th 1844
October 27th 1844
October 28th 1844
October 29th 1844
October 30th 1844
October 31st 1844
November 1st 1844
November 2nd 1844
November 3rd 1844
November 4th 1844
November 5th 1844
November 6th 1844
November 7th 1844
November 8th 1844
November 9th 1844
November 10th 1844
November 11th 1844
November 12th 1844
November 13th 1844
November 14th 1844
November 15th 1844
November 16th 1844
November 17th 1844
November 18th 1844
November 19th 1844
November 20th 1844
November 21st 1844
November 22nd 1844
November 23rd 1844
November 24th 1844
November 25th 1844
November 26th 1844
November 27th 1844
November 28th 1844
November 29th 1844
November 30th 1844
December 1st 1844
December 2nd 1844
December 3rd 1844
December 4th 1844
December 5th 1844
December 6th 1844
December 7th 1844
December 8th 1844
December 9th 1844
December 10th 1844
December 11th 1844
December 12th 1844
December 13th 1844
December 14th 1844
December 15th 1844
December 16th 1844
December 17th 1844
December 18th 1844
December 19th 1844
December 20th 1844
December 21st 1844
December 22nd 1844
December 23rd 1844
December 24th 1844
December 25th 1844
December 26th 1844
December 27th 1844
December 28th 1844
December 29th 1844
December 30th 1844
December 31st 1844
<Line
