11 FONETIK TELXGRAFIK ALFEBB
IV V
1 Magnitudz 2 No. of Telegraphic
3 Purmolecursz 4 Tipograf
5 Samplarla 6 TELXGRAFIK
7 Androordu 8 Androordu
9 Androordu 10 Androordu
11 Androordu 12 Androordu
13 Androordu 14 Androordu
15 Androordu 16 Androordu
17 Androordu 18 Androordu
19 Androordu 20 Androordu
21 Androordu 22 Androordu
23 Androordu 24 Androordu
25 Androordu 26 Androordu
27 Androordu 28 Androordu
29 Androordu 30 Androordu
31 Androordu 32 Androordu
33 Androordu 34 Androordu
35 Androordu 36 Androordu
37 Androordu 38 Androordu
39 Androordu 40 Androordu
41 Androordu 42 Androordu
43 Androordu 44 Androordu
45 Androordu 46 Androordu
47 Androordu 48 Androordu
49 Androordu 50 Androordu
51 Androordu 52 Androordu
53 Androordu 54 Androordu
55 Androordu 56 Androordu
57 Androordu 58 Androordu
59 Androordu 60 Androordu
61 Androordu 62 Androordu
63 Androordu 64 Androordu
65 Androordu 66 Androordu
67 Androordu 68 Androordu
69 Androordu 70 Androordu
71 Androordu 72 Androordu
73 Androordu 74 Androordu
75 Androordu 76 Androordu
77 Androordu 78 Androordu
79 Androordu 80 Androordu
81 Androordu 82 Androordu
83 Androordu 84 Androordu
85 Androordu 86 Androordu
87 Androordu 88 Androordu
89 Androordu 90 Androordu
91 Androordu 92 Androordu
93 Androordu 94 Androordu
95 Androordu 96 Androordu
97 Androordu 98 Androordu
99 Androordu 100 Androordu
101 Androordu 102 Androordu
103 Androordu 104 Androordu
105 Androordu 106 Androordu
107 Androordu 108 Androordu
109 Androordu 110 Androordu
111 Androordu 112 Androordu
113 Androordu 114 Androordu
115 Androordu 116 Androordu
117 Androordu 118 Androordu
119 Androordu 120 Androordu
121 Androordu 122 Androordu
123 Androordu 124 Androordu
125 Androordu 126 Androordu
127 Androordu 128 Androordu
129 Androordu 130 Androordu
131 Androordu 132 Androordu
133 Androordu 134 Androordu
135 Androordu 136 Androordu
137 Androordu 138 Androordu
139 Androordu 140 Androordu
141 Androordu 142 Androordu
143 Androordu 144 Androordu
145 Androordu 146 Androordu
147 Androordu 148 Androordu
149 Androordu 150 Androordu
151 Androordu 152 Androordu
153 Androordu 154 Androordu
155 Androordu 156 Androordu
157 Androordu 158 Androordu
159 Androordu 160 Androordu
161 Androordu 162 Androordu
163 Androordu 164 Androordu
165 Androordu 166 Androordu
167 Androordu 168 Androordu
169 Androordu 170 Androordu
171 Androordu 172 Androordu
173 Androordu 174 Androordu
175 Androordu 176 Androordu
177 Androordu 178 Androordu
179 Androordu 180 Androordu
181 Androordu 182 Androordu
183 Androordu 184 Androordu
185 Androordu 186 Androordu
187 Androordu 188 Androordu
189 Androordu 190 Androordu
191 Androordu 192 Androordu
193 Androordu 194 Androordu
195 Androordu 196 Androordu
197 Androordu 198 Androordu
199 Androordu 200 Androordu
201 Androordu 202 Androordu
203 Androordu 204 Androordu
205 Androordu 206 Androordu
207 Androordu 208 Androordu
209 Androordu 210 Androordu
211 Androordu 212 Androordu
213 Androordu 214 Androordu
215 Androordu 216 Androordu
217 Androordu 218 Androordu
219 Androordu 220 Androordu
221 Androordu 222 Androordu
223 Androordu 224 Androordu
225 Androordu 226 Androordu
227 Androordu 228 Androordu
229 Androordu 230 Androordu
231 Androordu 232 Androordu
233 Androordu 234 Androordu
235 Androordu 236 Androordu
237 Androordu 238 Androordu
239 Androordu 240 Androordu
241 Androordu 242 Androordu
243 Androordu 244 Androordu
245 Androordu 246 Androordu
247 Androordu 248 Androordu
249 Androordu 250 Androordu
251 Androordu 250 Androordu
252 Androordu 251 Androordu
253 Androordu 252 Androordu
254 Androordu 253 Androordu
255 Androordu 254 Androordu
256 Androordu 255 Androordu
257 Androordu 256 Androordu
258 Androordu 257 Androordu
259 Androordu 258 Androordu
260 Androordu 259 Androordu
261 Androordu 260 Androordu
262 Androordu 261 Androordu
263 Androordu 262 Androordu
264 Androordu 263 Androordu
265 Androordu 264 Androordu
266 Androordu 265 Androordu
267 Androordu 266 Androordu
